,mean_Bearing_1,mean_Bearing_2,mean_Bearing_3,mean_Bearing_4,mean_fft_Bearing_1,mean_fft_Bearing_2,mean_fft_Bearing_3,mean_fft_Bearing_4,mean_frq_Bearing_1,mean_frq_Bearing_2,mean_frq_Bearing_3,mean_frq_Bearing_4
2004.02.16.16.22.39,0.07381356511548415,0.07471336491039601,0.0756400703159334,0.04442526490551297,8.685012335755957,9.67720447054873,11.381775499060756,5.587612232790555,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.15.16.42.39,0.059662288197665905,0.07315889447726939,0.07595190194833733,0.04286893891303287,7.607821661934098,9.477400124761065,11.43072438904097,5.467979545908498,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.17.16.52.39,0.09294604228722106,0.07813794618877874,0.07777235216563311,0.05003623223790224,10.751428487659965,9.969002289674807,11.25139085370159,6.07669526682446,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.15.12.22.39,0.0605253186190732,0.07438283119292935,0.07814234093461594,0.044174422579227504,7.7323197438567215,9.737709332658508,11.719135797295166,5.653051314169585,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.17.02.42.39,0.07834410859905268,0.07418404218956004,0.07900375994921628,0.046180526392890275,8.85690706864386,9.536965161605906,11.403565541610828,5.843177084535387,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.16.18.12.39,0.07393022120220714,0.07465774696030081,0.07683339030226086,0.044928316812344354,8.657570825257888,9.666868122205493,11.393326503933613,5.662486901722757,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.17.16.32.39,0.09458503833194981,0.07639010693881539,0.0779911616778163,0.049491039601543045,10.758244553961394,9.696835516203697,11.279610811740694,6.048581002761265,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.12.20.12.39,0.06019703110503442,0.07481258850529811,0.07934703842961081,0.042922261829190886,7.446161047942105,9.518957310337614,11.607349637432666,5.388659550559651,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.15.17.42.39,0.061359246056936385,0.07338971629474095,0.07730094242882952,0.04357922750134285,7.790363589804919,9.608416000677344,11.542534044175948,5.560527334062728,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.18.20.32.39,0.12993945016846525,0.10316079886713218,0.10658909126422188,0.06447736705893843,12.388785253300433,10.30810819109206,11.323454120859916,6.55464868083464,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.15.10.12.39,0.06125924117388545,0.07382469847160505,0.07636974461643635,0.04386171199765614,7.814656944149517,9.745938987908959,11.35549436613158,5.6232434491922145,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.17.15.32.39,0.10207539430636262,0.07792397089701646,0.07759094682357538,0.05057224473851263,11.054404729089333,9.87648783972117,11.322205260858464,6.099451813309509,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.15.19.22.39,0.06019649396943211,0.07402548952585575,0.07664592997704966,0.04365623321451243,7.623619730136954,9.568845382003246,11.341017942156878,5.573848292208308,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.12.13.42.39,0.0618432540651399,0.07581947360710972,0.08151184139850579,0.04355427511108941,7.914661984497292,9.796228981713536,12.469966434640428,5.54500090594716,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.17.03.52.39,0.08004756091606036,0.07467376336735193,0.07759651350163582,0.045748278724547106,9.027243029072707,9.655245709365861,11.488942748148563,5.795463424568396,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.17.16.22.39,0.09634137409053177,0.07832130475120856,0.07987274769275843,0.05058401289125446,10.938027554885238,9.930246341498563,11.505701344638508,6.146501425419471,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.17.08.12.39,0.11735704868401775,0.07685336198056546,0.07821334049514138,0.0513376629718248,12.524044781060232,9.92118424245664,11.458678588329702,6.16101696333015,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.17.04.12.39,0.08034620831095268,0.07469798329996581,0.0755828897895405,0.04573773133453782,9.085496209663106,9.64471853427693,11.290173122891924,5.7470720376380555,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.14.13.12.39,0.061837638556570144,0.07426534498754822,0.07731246642902487,0.044158601494213585,7.867455010825779,9.712024991578875,11.655454668926211,5.61546217905166,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.13.15.32.39,0.060471800380877974,0.0751483470872601,0.07687216172664682,0.04409277796767421,7.56343036448827,9.698851407221065,11.33433884961964,5.526696134123432,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.15.01.52.39,0.06177425655549588,0.07341203183749205,0.07717032081644612,0.043475365008057036,7.844848731286827,9.653214404793982,11.344774162833728,5.568592580422835,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.14.23.32.39,0.0609622540163094,0.07420674837638556,0.0766161433663753,0.04425777625860638,7.7276435897525655,9.675817325603441,11.299480162006326,5.5934633944636785,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.16.16.02.39,0.07422823380047855,0.07438688412520143,0.0774369353972362,0.04432379510718297,8.702303344671114,9.52077122671244,11.19859613370618,5.5917808328377525,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.14.01.12.39,0.060009180135748824,0.07506470042482544,0.07519776356267396,0.043814737047707414,7.538071938240349,9.739448728459905,11.171643099916029,5.537458066903818,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.16.08.32.39,0.06780399433566092,0.07346979832999657,0.07716665852824844,0.04413989940915084,8.20384657309807,9.642136050856363,11.387131279799126,5.598507925898377,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.15.22.12.39,0.061452268177157085,0.07331075736119928,0.07727931051320866,0.04376527174178427,7.85920618877202,9.631124659508746,11.460150034904883,5.626539897989335,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.13.22.32.39,0.0605473411787685,0.07524771717369012,0.07723174959714829,0.044763074368865674,7.751861687740823,9.97037497481038,11.538245848566696,5.675633280027222,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.18.02.02.39,0.08330377459836906,0.07727701547927145,0.07878748962351677,0.04716792812149031,10.004691340868426,9.823839324977216,11.478296049513524,5.935375461334259,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.19.03.42.39,0.280399091752527,0.14384384003125153,0.1300732945944626,0.09088153718443283,23.822128554257365,11.916998740058403,12.354913636687842,7.999999383637581,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.14.19.22.39,0.06081595781043996,0.07455764441623126,0.07550715366961278,0.04341862395624787,7.7377002224468345,9.652758065815616,11.25187979179596,5.500226598760054,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.15.21.02.39,0.061264368377362176,0.07311338444259975,0.07496293764343961,0.04350915572049417,7.691798598918647,9.413227642345356,11.342513872773639,5.558044599593466,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.13.08.32.39,0.06005459250939988,0.07500595732213487,0.07903198398359296,0.04359729478978466,7.6350550491000595,9.799377759989337,11.742088745154573,5.521608159838136,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.12.13.32.39,0.06147629278773378,0.07533194980223644,0.08176219541969824,0.04415615996874848,7.744629775687759,9.615578116300354,11.894525680638669,5.635259252200181,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
2004.02.16.07.52.39,0.06977787001318425,0.07378231358953073,0.07691625567654671,0.044804775623809766,8.463899229328776,9.598044303694348,11.39997498797304,5.694512807383887,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14,9.095391128624235e-14
